User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
ajs_sanbox,ASIARYEUCYYSY362TV5M,2025-02-26T19:48:23Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],62a45e99-931b-490a-9e01-dd08d4a8bac9,68168793-de68-4f53-84b8-a385c2286a34,true,AwsApiCall,120569644581,Management
ajs_sanbox,ASIARYEUCYYSY362TV5M,2025-02-26T19:48:22Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],d8d258c4-ad9d-4183-87dc-d01068e041a2,bce4f1bf-de8f-404b-8028-b9b38f0f0c86,true,AwsApiCall,120569644581,Management
ajs_sanbox,ASIARYEUCYYSY362TV5M,2025-02-26T19:48:14Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],b4630a03-f2ea-4bcc-87f6-b1374cb1d78d,1ef0046f-b791-41b6-870d-9629f1346c34,true,AwsApiCall,120569644581,Management
ajs_sanbox,ASIARYEUCYYSY362TV5M,2025-02-26T19:48:14Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],f851f69e-8abf-4a94-8a90-2912dbe2ec62,29b27c5f-a942-42ab-864d-168df23948a5,true,AwsApiCall,120569644581,Management
ajs_sanbox,ASIARYEUCYYSY362TV5M,2025-02-26T19:48:07Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],1d880202-093a-4437-ae75-a15e18b9c065,012781a3-0f22-4d7b-b763-1ba83503e872,true,AwsApiCall,120569644581,Management
ajs_sanbox,ASIARYEUCYYSY362TV5M,2025-02-26T19:48:07Z,organizations.amazonaws.com,ListDelegatedAdministrators,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],72dda89a-a0a1-4633-b65b-ff0742dfa6a0,6d83ce50-0b41-4e57-819e-243db9d3e1d1,true,AwsApiCall,120569644581,Management
ajs_sanbox,ASIARYEUCYYSY362TV5M,2025-02-26T19:48:07Z,organizations.amazonaws.com,DescribeOrganization,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],d4b24c34-9d7d-4876-9f62-4bbc1722e932,c8984f72-49fa-4654-ad22-7e6e8e17a6b9,true,AwsApiCall,120569644581,Management
ajs_sanbox,ASIARYEUCYYS76NG4OIB,2025-02-26T19:48:06Z,notifications.amazonaws.com,GetFeatureOptInStatus,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],98d6bf32-790c-4df8-ab37-941ab2e27f66,3780ae1a-48bb-4bbe-9468-c2908e9e10ee,true,AwsApiCall,120569644581,Management
ajs_sanbox,ASIARYEUCYYSY362TV5M,2025-02-26T19:48:06Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],c4d5cd04-b899-4c0a-b3c5-aa5635999895,851f2a6a-f1cf-41bb-8048-4c131fed8455,true,AwsApiCall,120569644581,Management
ajs_sanbox,ASIARYEUCYYS76NG4OIB,2025-02-26T19:48:06Z,notifications.amazonaws.com,ListNotificationHubs,us-east-1,67.79.68.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,[],0e2081bd-dd82-4db4-95f1-efc275b66b3a,a2acc364-e162-4ed6-ab12-ecb6d2a66f6c,true,AwsApiCall,120569644581,Management
